player_id,handle,first_name,last_name,total_games_played,most_played_agent_type,most_played_agent_name,average_kpr,average_dpr,total_kills_2024,total_multikills,total_clutches,total_first_bloods,average_headshot_ratio,average_damage_per_round,region
109795093064956728,Yuicaw,Yung-Chieh,Huang,9,Initiators,Gekko,0.93,0.718,182,72,2,27,0.183,50.977,CN
106668289146451621,Spring,LIU CHUN,TING,9,Duelists,Jett,0.791,0.781,156,52,1,41,0.239,42.316,CN
107815375006925222,SiuFatBB,JIA SI,PANG,9,Controllers,Viper,0.59,0.597,115,32,3,7,0.107,32.683,CN
108216307053720564,pl1xx,pl1xx,pl1xx,9,Initiators,KAY/O,0.682,0.719,131,40,0,13,0.224,40.399,CN
111878439382749117,aluba,Haojun,Zhong,9,Sentinels,Killjoy,0.699,0.701,138,41,0,14,0.294,37.762,CN
106116533404804753,mwzera,Leonardo,Serrati,27,Duelists,Jett,0.748,0.823,422,137,1,82,0.234,41.931,INTL
106116469240407598,kon4n,Vitor Hugo,Conceição De Souza,16,Initiators,Skye,0.557,0.771,175,45,1,22,0.143,39.746,INTL
108844319061874112,havoc,Ilan,Eloy Nogueira,27,Duelists,Raze,0.641,0.795,359,102,3,68,0.279,42.15,INTL
106116525718283893,Khalil,Khalil,Schimidt,27,Controllers,Viper,0.654,0.72,372,104,0,30,0.269,34.108,INTL
109980839435632237,Demon1,Maximilian,Mazanov,19,Duelists,Jett,0.748,0.737,294,103,3,70,0.37,47.99,INTL
106525474853482229,Marved,Jimmy,Nguyen,19,Controllers,Omen,0.683,0.712,268,88,1,31,0.228,46.264,INTL
106525490978488340,Ethan,Ethan,Arnold,29,Initiators,Skye,0.726,0.701,438,134,1,51,0.189,45.678,INTL
106525473804840689,crashies,Austin,Roberts,29,Controllers,Viper,0.638,0.649,390,117,4,29,0.248,44.319,INTL
106525472657113092,Victor,Victor,Wong,29,Sentinels,Cypher,0.773,0.72,474,178,2,89,0.281,53.416,INTL
106116524342027888,qck,Gabriel,Lima,38,Duelists,Jett,0.706,0.756,552,190,1,129,0.214,47.684,INTL
109715242528483605,Shin ,RYAD,ENSAAD,57,Sentinels,Sage,0.615,0.671,738,199,4,75,0.284,35.79,INTL
108469291932519294,Tomaszy,Tomás,Machado,57,Controllers,Viper,0.661,0.697,801,233,3,92,0.223,42.336,INTL
106230276315764487,Magnum,Martin,Peňkov,57,Sentinels,Killjoy,0.623,0.69,752,202,8,107,0.212,36.82,INTL
107042219372351080,marteen,Martin ,Pátek,57,Duelists,Jett,0.789,0.722,954,324,2,205,0.285,54.122,INTL
109918865741533645,N4RRATE,Marshall ,Massey,57,Initiators,Gekko,0.833,0.709,1004,326,8,136,0.271,53.746,INTL
109636696799297087,Hiro  ,Emirhan,Kat,35,Sentinels,Cypher,0.703,0.625,511,180,7,53,0.216,37.539,INTL
106116526654494663,nzrtbr,Agustin,Ibarra,23,Initiators,Sova,0.703,0.725,326,103,6,14,0.234,42.931,INTL
106651802407300792,nukkye,Žygimantas,Chmieliauskas,6,Sentinels,Cypher,0.7,0.714,87,25,1,13,0.262,50.212,INTL
107761554001808494,lenne,Lionel,Lim,10,Initiators,Sova,0.555,0.69,115,31,0,15,0.206,46.606,INTL
109641698140602206,Wo0t,Alkan,Gökhan Mert,87,Initiators,KAY/O,0.765,0.692,1392,443,4,248,0.32,44.911,INTL
107769214556166141,s0m,Sam,Oh,10,Controllers,Omen,0.792,0.696,170,59,2,20,0.227,60.308,INTL
112543639126430904,FNS,MAXIMILLION,MAZANOV,10,Sentinels,Cypher,0.544,0.752,116,32,0,17,0.164,29.396,INTL
106605779275600095,Dep,Yuma,Hashimoto,38,Duelists,Jett,0.814,0.771,630,214,3,144,0.29,50.556,INTL
111323096513185941,Yuran,Yushin ,Hato,38,Initiators,Gekko,0.614,0.719,477,136,0,52,0.153,34.987,INTL
106605662157742376,SugarZ3ro,Shota,Watanabe,38,Controllers,Viper,0.67,0.702,517,166,3,29,0.343,44.993,INTL
109715591703039195,hiroronn,Yanai,Hiroki,38,Initiators,KAY/O,0.596,0.723,463,132,5,59,0.288,31.701,INTL
106605614205227119,Laz,Koji,Ushida,38,Sentinels,Killjoy,0.716,0.686,558,161,5,82,0.22,43.121,INTL
108231591331868294,Famsii,Ramses,Koivukangas,5,Controllers,Omen,0.596,0.734,67,16,0,10,0.185,25.168,INTL
106535378430874709,ZestKR,Giseok,Kim,26,Sentinels,Deadlock,0.622,0.711,330,84,4,36,0.2,38.903,INTL
106230373601204025,sScary,Nutchaphon,Matarat,31,Controllers,Omen,0.741,0.689,484,143,9,52,0.225,50.642,INTL
106668674471618890,crazyguy,Ngô Công ,Anh,16,Initiators,Fade,0.545,0.76,194,49,1,27,0.221,41.314,INTL
107761554991402098,Deryeon,Derrick,Yee,31,Duelists,Raze,0.67,0.774,446,123,0,92,0.302,37.753,INTL
108409186139442811,Retla,Teo,Jorell,26,Sentinels,Cypher,0.641,0.698,342,95,5,28,0.266,39.211,INTL
109716301541018972,stew,Park,Youngchan,13,Duelists,Neon,0.851,0.616,227,93,1,41,0.255,68.361,CN
111878437775806356,Viva,LIFAN,RAN,13,Initiators,Sova,0.801,0.579,209,64,3,24,0.169,56.721,CN
106724776552530645,YHchen,CHEN Han ,Chen,13,Controllers,Omen,0.708,0.663,183,57,0,20,0.257,48.627,CN
109669236478561723,jkuro,Ho-chung,Yeung,13,Sentinels,Cypher,0.647,0.707,167,48,0,27,0.339,42.866,CN
112648615953243285,Z1Yan,ZIHAN,LIU,13,Controllers,Viper,0.79,0.694,204,68,1,25,0.318,54.152,CN
111878438965536423,B1ack,SONGTAI,LI,8,Initiators,Breach,0.7,0.687,123,36,0,12,0.34,39.907,CN
109669229626576297,LockM,Xing,Fu Ling,11,Initiators,Fade,0.588,0.673,143,45,1,9,0.36,34.201,CN
108695562646341607,Abo,Bohao,Han,12,Sentinels,Chamber,0.781,0.734,211,69,2,39,0.325,47.933,CN
112649050031857687,AC,Wei,Jiacong,12,Controllers,Omen,0.748,0.692,199,66,3,16,0.201,40.552,CN
106532683698754008,Rb,Sangmin,Koo,12,Duelists,Neon,0.785,0.804,211,73,0,33,0.298,47.736,CN
107769215218413128,JAWGEMO,Alexander,Mor,28,Duelists,Jett,0.74,0.804,438,148,1,96,0.237,46.293,INTL
106525538484682825,Derrek,Derrek,Ha,28,Initiators,Sova,0.702,0.718,418,120,6,38,0.318,40.542,INTL
106525516580646719,NaturE,Nicholas,Garrison,28,Initiators,KAY/O,0.611,0.733,360,101,3,31,0.299,37.167,INTL
108273961403370235,Apoth,Vincent,LE,28,Sentinels,Cypher,0.59,0.744,354,108,2,52,0.363,39.885,INTL
106525540384501594,supamen, Phat,Le,28,Controllers,Omen,0.708,0.728,421,144,2,62,0.392,39.939,INTL
106732998058142840,yay,Jaccob,Whiteaker,20,Duelists,Raze,0.629,0.769,264,66,0,65,0.171,43.762,INTL
111878438901725373,kawaii,MIN,PIAO,4,Sentinels,Cypher,0.604,0.721,56,15,0,6,0.295,38.155,CN
111878439153514690,AAK,YEKAI,SHI,2,Controllers,Viper,0.587,0.846,23,9,0,2,0.236,28.532,CN
106116523403589346,xand,Alexandre,Silva,11,Initiators,Gekko,0.491,0.776,121,31,0,18,0.233,29.429,INTL
107769215327552950,neT,Michael,Bernet,13,Sentinels,Cypher,0.707,0.699,211,68,1,21,0.363,37.339,INTL
